Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Command,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
aura-cross-front-halter-neck-sports-bra-copy,,,,,,,,,L,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/blackbrafront.png?v=1764235372,,Aura Sports Bra - Black,,,,,,,,,,,,,,,,,,,,,,active
aura-cross-front-halter-neck-sports-bra-copy,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/blackbrafronthalfbody.png?v=1764235372,,Aura Sports Bra - Black,,,,,,,,,,,,,,,,,,,,,,
aura-cross-front-halter-neck-sports-bra-copy,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/blackbraback.png?v=1764235372,,Aura Sports Bra - Black,,,,,,,,,,,,,,,,,,,,,,
cross-front-halter-neck-sports-bra,Aura Sports Bra - White,"<p>Super soft, super cute, minimal coverage to show off your upper body</p>
<ul>
<li>Cute, comfy</li>
<li>Flattering halter neck shape</li>
<li>Sliders in the back to get the right fit &amp; lift</li>
<li>Super soft fabric</li>
<li>Minimal coverage shows off your upper body</li>
</ul>",LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/white_aura_bra.png?v=1764235402,,Aura Sports Bra - White,false,,,,,,,,,,,,,,,,,,,,,active
cross-front-halter-neck-sports-bra,,,,,,,,,M,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/whitetopfront.png?v=1764235402,,Aura Sports Bra - White,,,,,,,,,,,,,,,,,,,,,,active
cross-front-halter-neck-sports-bra,,,,,,,,,L,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/frontofbrawhite.png?v=1764235402,,Aura Sports Bra - White,,,,,,,,,,,,,,,,,,,,,,active
cross-front-halter-neck-sports-bra,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/whitebrafront.png?v=1764235402,,Aura Sports Bra - White,,,,,,,,,,,,,,,,,,,,,,
cross-front-halter-neck-sports-bra,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/whitebraback.png?v=1764235402,,Aura Sports Bra - White,,,,,,,,,,,,,,,,,,,,,,
glow-leggings-shadow,Glow Leggings - Shadow,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06681_899dc05f-ecd8-46e8-954b-0e065b180dee.jpg?v=1760560284,,Glow Leggings - Shadow,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-shadow,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06687_df87b7f3-f783-4a9c-907e-cc30cc231a18.jpg?v=1760560284,,Glow Leggings - Shadow,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-shadow,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-lavender,Glow Leggings - Lavender,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06625_c03bc4c9-52bb-482e-84a3-cc7094528f63.jpg?v=1760560074,,Glow Leggings - Lavender,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-lavender,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06650_a4dd0a96-f940-45b2-8bde-9c3c930983c4.jpg?v=1760560074,,Glow Leggings - Lavender,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-lavender,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-olive-copy,Glow Leggings - Ivory,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06759_8b686709-6801-461e-a120-5ce18f04b0ee.jpg?v=1760559904,,Glow Leggings - Ivory,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-olive-copy,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06761_9934c545-e874-4f9b-b699-bd0a0b2b6ccf.jpg?v=1760559905,,Glow Leggings - Ivory,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-olive-copy,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings,Glow Leggings - Olive,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06652.jpg?v=1760558382,,Glow Leggings - Olive,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06658.jpg?v=1760558382,,Glow Leggings - Olive,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-almond,Glow Leggings - Almond,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,227,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06742_b6700105-0732-4e09-8543-9639ec6289d6.jpg?v=1760559561,,Glow Leggings - Almond,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-almond,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06748_0f651370-f6f4-41b5-b7ba-473be60d719d.jpg?v=1760559561,,Glow Leggings - Almond,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-almond,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-hazel,Glow Leggings - Hazel,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,227,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06693_77335376-d449-4698-8b57-784d3b7e113c.jpg?v=1760559520,,Glow Leggings - Hazel,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-hazel,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06701_05f27bf7-cda3-41e1-ae79-4f75152889ee.jpg?v=1760559520,,Glow Leggings - Hazel,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-hazel,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-navy,Glow Leggings - Navy,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,227,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06670_c0389ba4-13d3-4f6c-89e5-1ad2fd15a739.jpg?v=1760559473,,Glow Leggings - Navy,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-navy,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06674_94a56642-3bfe-4e34-89b4-eb558f2f47b2.jpg?v=1760559473,,Glow Leggings - Navy,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-navy,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-stone,Glow Leggings - Stone,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06728.jpg?v=1760558381,,Glow Leggings - Stone,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-stone,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06735.jpg?v=1760558382,,Glow Leggings - Stone,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-stone,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-royal,Glow Leggings - Royal,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06719_522e309b-7e5b-4e4d-b19a-a106faf3ff74.jpg?v=1760559276,,Glow Leggings - Royal,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-royal,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06723_cc2eee99-aa68-4fd5-a4c9-ec462ae4fe04.jpg?v=1760559276,,Glow Leggings - Royal,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-royal,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-onyx,Glow Leggings - Onyx,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06766_cb5305f7-44d2-49f8-b065-de4981367923.jpg?v=1760559238,,Glow Leggings - Onyx,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-onyx,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06771_0901b280-0604-44a5-af41-da1b3a9baaa2.jpg?v=1760559239,,Glow Leggings - Onyx,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-onyx,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-sky,Glow Leggings - Sky,<p>Buttery soft textured high rise flared leggings made for gym and lifestyle everyday use</p>,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06706.jpg?v=1760558382,,Glow Leggings - Sky,false,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-sky,,,,,,,,,M,,,,,,0,,,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06712.jpg?v=1760558381,,Glow Leggings - Sky,,,,,,,,,,,,,,,,,,,,,,active
glow-leggings-sky,,,,,,,,,L,,,,,,0,,,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
rival-shorts-jade,Rival Shorts - Sage,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,RVL-SHRTS-SAGE-1,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06563.jpg?v=1760496810,,Rival Shorts - Sage,false,,,,,,,,,,,,,,,,,,,,,active
rival-shorts-jade,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06568.jpg?v=1760496808,,Rival Shorts - Sage,,,,,,,,,,,,,,,,,,,,,,active
rival-shorts-jade,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
rival-shorts-peach,Rival Shorts - Peach,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06591_cdafbaba-8b44-40ed-986a-b9509a409673.jpg?v=1760498427,,Rival Shorts - Peach,false,,,,,,,,,,,,,,,,,,,,,active
rival-shorts-peach,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06595_eb9a627d-ff60-445a-911f-82e9c3171068.jpg?v=1760498427,,Rival Shorts - Peach,,,,,,,,,,,,,,,,,,,,,,active
rival-shorts-peach,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
grayish-purple-shorts,Rival Shorts - Plum,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06601_2de336ea-88e8-4a7b-ad01-0c37431a631a.jpg?v=1760497364,,Rival Shorts - Plum,false,,,,,,,,,,,,,,,,,,,,,active
grayish-purple-shorts,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06605_44c486ac-c3bc-4077-88e7-b2fabadef143.jpg?v=1760497365,,Rival Shorts - Plum,,,,,,,,,,,,,,,,,,,,,,active
grayish-purple-shorts,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
copy-competitor-shorts-plum,Rival Shorts - Crimson,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06612_6942089a-e3d0-45bf-9035-4402562b95e7.jpg?v=1760497321,,Rival Shorts - Crimson,false,,,,,,,,,,,,,,,,,,,,,active
copy-competitor-shorts-plum,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06618_7b374e49-7264-4dc9-9ed4-07f31c8bb585.jpg?v=1760497321,,Rival Shorts - Crimson,,,,,,,,,,,,,,,,,,,,,,active
copy-competitor-shorts-plum,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-pearl,Rival Shorts - Pearl,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06517_4046c974-a7c0-45fc-bcac-5d05314a77eb.jpg?v=1760497250,,Rival Shorts - Pearl,false,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-pearl,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06522_6ca2f363-4c5b-4ce0-9f6a-76021d2cb6c2.jpg?v=1760497250,,Rival Shorts - Pearl,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-pearl,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-1,Rival Shorts - Rose,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06576_d3a62d85-9c6c-4f54-b7d1-c8dbdb1928ba.jpg?v=1760497212,,Rival Shorts - Rose,false,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-1,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06583_a17ed9bd-9975-4eab-99c6-e06a66d9bf96.jpg?v=1760497212,,Rival Shorts - Rose,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-1,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-navy,Rival Shorts - Navy,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06550.jpg?v=1760497496,,Rival Shorts - Navy,false,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-navy,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06553.jpg?v=1760497496,,Rival Shorts - Navy,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-navy,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-sky,Rival Shorts - Sky,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06532.jpg?v=1760496810,,Rival Shorts - Sky,false,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-sky,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06540.jpg?v=1760496808,,Rival Shorts - Sky,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts-sky,,,,,,,,,Large,,,,,SQ4560269,0,,,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts,Rival Shorts - Mint,"<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true""><strong>True to size.</strong></p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">If you are in between sizes we recommend sizing up for a more relaxed fit.</p>
<p style=""white-space: pre-wrap;"" data-rte-preserve-empty=""true"">Model: 118LBS, Wearing Small</p>",My Store,,,,true,Size,Small,,,,,SQ4560267,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06313.jpg?v=1760393208,,Rival Shorts - Mint,false,,,,,,,,,,,,,,,,,,,,,active
competitor-shorts,,,,,,,,,Medium,,,,,SQ4560268,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/DSC06330.jpg?v=1760393207,,Rival Shorts - Mint,,,,,,,,,,,,,,,,,,,,,,active
